# t x vx y vy xd vxd yd vyd
0.86000000 12.16223680 14.14213581  8.53449847  5.70553543 12.16223680 14.14213581  8.57668147  5.70553543
0.87000000 12.30365816 14.14213581  8.59106333  5.60743543 12.30365816 14.14213581  8.63373683  5.60743543
0.88000000 12.44507952 14.14213581  8.64664718  5.50933543 12.44507952 14.14213581  8.68981118  5.50933543
0.89000000 12.58650087 14.14213581  8.70125004  5.41123543 12.58650087 14.14213581  8.74490454  5.41123543
0.90000000 12.72792223 14.14213581  8.75487189  5.31313543 12.72792223 14.14213581  8.79901689  5.31313543
0.91000000 12.86934359 14.14213581  8.80751275  5.21503543 12.86934359 14.14213581  8.85214825  5.21503543
0.92000000 13.01076495 14.14213581  8.85917260  5.11693543 13.01076495 14.14213581  8.90429860  5.11693543
0.93000000 13.15218631 14.14213581  8.90985145  5.01883543 13.15218631 14.14213581  8.95546795  5.01883543
0.94000000 13.29360766 14.14213581  8.95954931  4.92073543 13.29360766 14.14213581  9.00565631  4.92073543
0.95000000 13.43502902 14.14213581  9.00826616  4.82263543 13.43502902 14.14213581  9.05486366  4.82263543
0.96000000 13.57645038 14.14213581  9.05600202  4.72453543 13.57645038 14.14213581  9.10309002  4.72453543
0.97000000 13.71787174 14.14213581  9.10275687  4.62643543 13.71787174 14.14213581  9.15033537  4.62643543
0.98000000 13.85929310 14.14213581  9.14853073  4.52833543 13.85929310 14.14213581  9.19659973  4.52833543
0.99000000 14.00071446 14.14213581  9.19332358  4.43023543 14.00071446 14.14213581  9.24188308  4.43023543
1.00000000 14.14213581 14.14213581  9.23713543  4.33213543 14.14213581 14.14213581  9.28618543  4.33213543
1.01000000 14.28355717 14.14213581  9.27996629  4.23403543 14.28355717 14.14213581  9.32950679  4.23403543
1.02000000 14.42497853 14.14213581  9.32181614  4.13593543 14.42497853 14.14213581  9.37184714  4.13593543
1.03000000 14.56639989 14.14213581  9.36268500  4.03783543 14.56639989 14.14213581  9.41320650  4.03783543
1.04000000 14.70782125 14.14213581  9.40257285  3.93973543 14.70782125 14.14213581  9.45358485  3.93973543
1.05000000 14.84924260 14.14213581  9.44147971  3.84163543 14.84924260 14.14213581  9.49298221  3.84163543
1.06000000 14.99066396 14.14213581  9.47940556  3.74353543 14.99066396 14.14213581  9.53139856  3.74353543
1.07000000 15.13208532 14.14213581  9.51635041  3.64543543 15.13208532 14.14213581  9.56883391  3.64543543
1.08000000 15.27350668 14.14213581  9.55231427  3.54733543 15.27350668 14.14213581  9.60528827  3.54733543
1.09000000 15.41492804 14.14213581  9.58729712  3.44923543 15.41492804 14.14213581  9.64076162  3.44923543
1.10000000 15.55634939 14.14213581  9.62129898  3.35113543 15.55634939 14.14213581  9.67525398  3.35113543
1.11000000 15.69777075 14.14213581  9.65431983  3.25303543 15.69777075 14.14213581  9.70876533  3.25303543
1.12000000 15.83919211 14.14213581  9.68635969  3.15493543 15.83919211 14.14213581  9.74129569  3.15493543
1.13000000 15.98061347 14.14213581  9.71741854  3.05683543 15.98061347 14.14213581  9.77284504  3.05683543
1.14000000 16.12203483 14.14213581  9.74749640  2.95873543 16.12203483 14.14213581  9.80341340  2.95873543
1.15000000 16.26345619 14.14213581  9.77659325  2.86063543 16.26345619 14.14213581  9.83300075  2.86063543
1.16000000 16.40487754 14.14213581  9.80470910  2.76253543 16.40487754 14.14213581  9.86160710  2.76253543
1.17000000 16.54629890 14.14213581  9.83184396  2.66443543 16.54629890 14.14213581  9.88923246  2.66443543
1.18000000 16.68772026 14.14213581  9.85799781  2.56633543 16.68772026 14.14213581  9.91587681  2.56633543
1.19000000 16.82914162 14.14213581  9.88317067  2.46823543 16.82914162 14.14213581  9.94154017  2.46823543
1.20000000 16.97056298 14.14213581  9.90736252  2.37013543 16.97056298 14.14213581  9.96622252  2.37013543
1.21000000 17.11198433 14.14213581  9.93057338  2.27203543 17.11198433 14.14213581  9.98992388  2.27203543
1.22000000 17.25340569 14.14213581  9.95280323  2.17393543 17.25340569 14.14213581 10.01264423  2.17393543
1.23000000 17.39482705 14.14213581  9.97405208  2.07583543 17.39482705 14.14213581 10.03438358  2.07583543
1.24000000 17.53624841 14.14213581  9.99431994  1.97773543 17.53624841 14.14213581 10.05514194  1.97773543
1.25000000 17.67766977 14.14213581 10.01360679  1.87963543 17.67766977 14.14213581 10.07491929  1.87963543
1.26000000 17.81909112 14.14213581 10.03191265  1.78153543 17.81909112 14.14213581 10.09371565  1.78153543
1.27000000 17.96051248 14.14213581 10.04923750  1.68343543 17.96051248 14.14213581 10.11153100  1.68343543
1.28000000 18.10193384 14.14213581 10.06558136  1.58533543 18.10193384 14.14213581 10.12836536  1.58533543
1.29000000 18.24335520 14.14213581 10.08094421  1.48723543 18.24335520 14.14213581 10.14421871  1.48723543
1.30000000 18.38477656 14.14213581 10.09532606  1.38913543 18.38477656 14.14213581 10.15909106  1.38913543
1.31000000 18.52619792 14.14213581 10.10872692  1.29103543 18.52619792 14.14213581 10.17298242  1.29103543
1.32000000 18.66761927 14.14213581 10.12114677  1.19293543 18.66761927 14.14213581 10.18589277  1.19293543
1.33000000 18.80904063 14.14213581 10.13258563  1.09483543 18.80904063 14.14213581 10.19782213  1.09483543
1.34000000 18.95046199 14.14213581 10.14304348  0.99673543 18.95046199 14.14213581 10.20877048  0.99673543
1.35000000 19.09188335 14.14213581 10.15252034  0.89863543 19.09188335 14.14213581 10.21873784  0.89863543
1.36000000 19.23330471 14.14213581 10.16101619  0.80053543 19.23330471 14.14213581 10.22772419  0.80053543
1.37000000 19.37472606 14.14213581 10.16853104  0.70243543 19.37472606 14.14213581 10.23572954  0.70243543
1.38000000 19.51614742 14.14213581 10.17506490  0.60433543 19.51614742 14.14213581 10.24275390  0.60433543
1.39000000 19.65756878 14.14213581 10.18061775  0.50623543 19.65756878 14.14213581 10.24879725  0.50623543
1.40000000 19.79899014 14.14213581 10.18518961  0.40813543 19.79899014 14.14213581 10.25385961  0.40813543
1.41000000 19.94041150 14.14213581 10.18878046  0.31003543 19.94041150 14.14213581 10.25794096  0.31003543
1.42000000 20.08183285 14.14213581 10.19139032  0.21193543 20.08183285 14.14213581 10.26104132  0.21193543
1.43000000 20.22325421 14.14213581 10.19301917  0.11383543 20.22325421 14.14213581 10.26316067  0.11383543
1.44000000 20.36467557 14.14213581 10.19366703  0.01573543 20.36467557 14.14213581 10.26429903  0.01573543
1.45000000 20.50609693 14.14213581 10.19333388 -0.08236457 20.50609693 14.14213581 10.26445638 -0.08236457
1.46000000 20.64751829 14.14213581 10.19201973 -0.18046457 20.64751829 14.14213581 10.26363273 -0.18046457
1.47000000 20.78893965 14.14213581 10.18972459 -0.27856457 20.78893965 14.14213581 10.26182809 -0.27856457
1.48000000 20.93036100 14.14213581 10.18644844 -0.37666457 20.93036100 14.14213581 10.25904244 -0.37666457
1.49000000 21.07178236 14.14213581 10.18219130 -0.47476457 21.07178236 14.14213581 10.25527580 -0.47476457
1.50000000 21.21320372 14.14213581 10.17695315 -0.57286457 21.21320372 14.14213581 10.25052815 -0.57286457
1.51000000 21.35462508 14.14213581 10.17073401 -0.67096457 21.35462508 14.14213581 10.24479951 -0.67096457
1.52000000 21.49604644 14.14213581 10.16353386 -0.76906457 21.49604644 14.14213581 10.23808986 -0.76906457
1.53000000 21.63746779 14.14213581 10.15535271 -0.86716457 21.63746779 14.14213581 10.23039921 -0.86716457
1.54000000 21.77888915 14.14213581 10.14619057 -0.96526457 21.77888915 14.14213581 10.22172757 -0.96526457
1.55000000 21.92031051 14.14213581 10.13604742 -1.06336457 21.92031051 14.14213581 10.21207492 -1.06336457
1.56000000 22.06173187 14.14213581 10.12492328 -1.16146457 22.06173187 14.14213581 10.20144128 -1.16146457
1.57000000 22.20315323 14.14213581 10.11281813 -1.25956457 22.20315323 14.14213581 10.18982663 -1.25956457
1.58000000 22.34457458 14.14213581 10.09973199 -1.35766457 22.34457458 14.14213581 10.17723099 -1.35766457
1.59000000 22.48599594 14.14213581 10.08566484 -1.45576457 22.48599594 14.14213581 10.16365434 -1.45576457
1.60000000 22.62741730 14.14213581 10.07061669 -1.55386457 22.62741730 14.14213581 10.14909669 -1.55386457
1.61000000 22.76883866 14.14213581 10.05458755 -1.65196457 22.76883866 14.14213581 10.13355805 -1.65196457
1.62000000 22.91026002 14.14213581 10.03757740 -1.75006457 22.91026002 14.14213581 10.11703840 -1.75006457
1.63000000 23.05168138 14.14213581 10.01958626 -1.84816457 23.05168138 14.14213581 10.09953776 -1.84816457
1.64000000 23.19310273 14.14213581 10.00061411 -1.94626457 23.19310273 14.14213581 10.08105611 -1.94626457
1.65000000 23.33452409 14.14213581  9.98066097 -2.04436457 23.33452409 14.14213581 10.06159347 -2.04436457
1.66000000 23.47594545 14.14213581  9.95972682 -2.14246457 23.47594545 14.14213581 10.04114982 -2.14246457
1.67000000 23.61736681 14.14213581  9.93781168 -2.24056457 23.61736681 14.14213581 10.01972518 -2.24056457
1.68000000 23.75878817 14.14213581  9.91491553 -2.33866457 23.75878817 14.14213581  9.99731953 -2.33866457
1.69000000 23.90020952 14.14213581  9.89103838 -2.43676457 23.90020952 14.14213581  9.97393288 -2.43676457
1.70000000 24.04163088 14.14213581  9.86618024 -2.53486457 24.04163088 14.14213581  9.94956524 -2.53486457
1.71000000 24.18305224 14.14213581  9.84034109 -2.63296457 24.18305224 14.14213581  9.92421659 -2.63296457
